Tender_ID,Submission_Date,Client_Industry,Client_Region,Equipment_Category,Equipment_Type,Project_Type,Tender_Value_IDR,Our_Bid_IDR,Bid_Margin_Pct,Lead_Time_Days,Status,Win_Loss_Reason,Competitor_Type,Principal_Origin,Quotation_Revisions,Decision_Maker_Level,Tender_Quarter
TND-2022-001,2022-01-15,Sugar,Lampung,Process Machinery,Centrifugal Machine,New Installation,2850000000,2750000000,12.5,90,Win,Better Technical Specs,Local Distributor,European,2,Plant Manager,Q1-2022
TND-2022-002,2022-01-28,Pulp & Paper,Riau,Power & Utilities,Generator 2MW,Replacement,4200000000,4150000000,11.2,120,Loss,Higher Price,International OEM,European,1,Procurement Director,Q1-2022
TND-2022-003,2022-02-10,Sugar,East Java,Power & Utilities,Transformer 1500kVA,New Installation,1850000000,1780000000,15.8,75,Win,Established Relationship,Local Distributor,Asian,1,Engineering Head,Q1-2022
TND-2022-004,2022-02-22,Power Generation,South Sumatra,Instrumentation,Pressure Sensors Set,Replacement,425000000,418000000,18.3,45,Win,Faster Lead Time,Local Distributor,European,2,Procurement Manager,Q1-2022
TND-2022-005,2022-03-05,Sugar,Central Java,Material Handling,Conveyor System,Upgrade,1250000000,1295000000,14.5,60,Loss,Technical Mismatch,International OEM,European,3,Plant Manager,Q1-2022
TND-2022-006,2022-03-18,Pulp & Paper,East Kalimantan,Power & Utilities,Electromotor 250HP,Replacement,680000000,665000000,13.2,50,Win,Better Technical Specs,Local Distributor,European,1,Engineering Head,Q1-2022
TND-2022-007,2022-04-02,Sugar,Lampung,Process Machinery,Centrifugal Machine,New Installation,3100000000,3050000000,11.8,95,Loss,Higher Price,International OEM,European,2,Plant Manager,Q2-2022
TND-2022-008,2022-04-15,Power Generation,Jakarta,Power & Utilities,Generator 5MW,New Installation,8500000000,8350000000,9.5,150,Loss,Higher Price,International OEM,European,3,Procurement Director,Q2-2022
TND-2022-009,2022-04-28,Sugar,East Java,Instrumentation,Control System Upgrade,Upgrade,950000000,925000000,17.2,55,Win,Better Technical Specs,Local Distributor,Asian,1,Engineering Head,Q2-2022
TND-2022-010,2022-05-12,Pulp & Paper,Riau,Material Handling,Pump Set Industrial,Replacement,520000000,498000000,15.5,40,Win,Faster Lead Time,Local Distributor,European,1,Procurement Manager,Q2-2022
TND-2022-011,2022-05-25,Sugar,South Sumatra,Power & Utilities,Inverter VSD 200HP,Replacement,385000000,395000000,16.8,35,Loss,Higher Price,Local Distributor,Asian,2,Engineering Head,Q2-2022
TND-2022-012,2022-06-08,Power Generation,West Java,Process Machinery,Gearbox Heavy Duty,Replacement,720000000,705000000,14.0,70,Win,Established Relationship,Local Distributor,European,1,Plant Manager,Q2-2022
TND-2022-013,2022-06-20,Sugar,Lampung,Spare Parts,Bearing & Seals Bundle,Replacement,180000000,175000000,22.5,30,Win,Faster Lead Time,Local Distributor,European,1,Procurement Manager,Q2-2022
TND-2022-014,2022-07-05,Pulp & Paper,East Kalimantan,Process Machinery,Centrifugal Machine,New Installation,2650000000,2580000000,12.8,100,Loss,Lost to Tender Specs,International OEM,European,2,Plant Manager,Q3-2022
TND-2022-015,2022-07-18,Sugar,Central Java,Power & Utilities,Generator 1MW,New Installation,2150000000,2080000000,13.5,110,Win,Better Technical Specs,Local Distributor,European,1,Procurement Director,Q3-2022
TND-2022-016,2022-08-02,Power Generation,South Sumatra,Material Handling,Piping System Industrial,Upgrade,1450000000,1485000000,14.2,80,Loss,Higher Price,International OEM,European,3,Engineering Head,Q3-2022
TND-2022-017,2022-08-15,Sugar,East Java,Instrumentation,Flow Meters Set,Replacement,275000000,268000000,19.5,40,Win,Established Relationship,Local Distributor,Asian,1,Engineering Head,Q3-2022
TND-2022-018,2022-08-28,Pulp & Paper,Riau,Power & Utilities,Transformer 2000kVA,Replacement,2350000000,2295000000,12.3,90,Win,Better Technical Specs,Local Distributor,European,2,Plant Manager,Q3-2022
